iter	Logloss
0	0.686690503
1	0.6801118493
2	0.6738800277
3	0.6677206214
4	0.6616526055
5	0.6557364158
6	0.6497850594
7	0.6439578423
8	0.6384989142
9	0.6331755572
10	0.6283073212
11	0.6235377499
12	0.6190160349
13	0.6143527202
14	0.6094997692
15	0.6051542278
16	0.6008966937
17	0.5963676543
18	0.5924550993
19	0.5888938269
20	0.5847908753
21	0.5808940661
22	0.5771318742
23	0.5739069478
24	0.5702622329
25	0.5670370284
26	0.5634663296
27	0.5601401998
28	0.5566676401
29	0.5534207235
30	0.5508284057
31	0.5479961495
32	0.5450584638
33	0.542246423
34	0.5397296379
35	0.5371600687
36	0.5345025435
37	0.5323769126
38	0.5297282119
39	0.5276339539
40	0.5257330166
41	0.5230807907
42	0.520928495
43	0.5188086752
44	0.5167176095
45	0.5148081253
46	0.5130236667
47	0.5110567601
48	0.5095098971
49	0.5075360526
50	0.5055233119
51	0.5039123347
52	0.5021180623
53	0.5002154502
54	0.4985239686
55	0.4968682112
56	0.4952038092
57	0.4938641885
58	0.4922802191
59	0.4908475881
60	0.4893995591
61	0.4878571679
62	0.4865603738
63	0.4852722938
64	0.483969629
65	0.4826087192
66	0.4812269655
67	0.4800321831
68	0.4789852845
69	0.4777709912
70	0.4765082104
71	0.4753454278
72	0.4742531352
73	0.4732861999
74	0.4722695624
75	0.4712674609
76	0.4702063067
77	0.4692286755
78	0.4682044588
79	0.4673146817
80	0.4664171829
81	0.4654472622
82	0.4644863603
83	0.4634736028
84	0.4625093192
85	0.4617419968
86	0.4609067401
87	0.4601031165
88	0.459237953
89	0.4584946412
90	0.4578142562
91	0.4570816214
92	0.4563939694
93	0.4556983921
94	0.4550106093
95	0.4543011679
96	0.4536908828
97	0.4530003848
98	0.4523606758
99	0.4516313823
100	0.4509847054
101	0.450482115
102	0.449897423
103	0.4493223313
104	0.4487346449
105	0.4481151153
106	0.4475520788
107	0.4470283859
108	0.4465643264
109	0.44602836
110	0.4455434112
111	0.4447791775
112	0.4441415556
113	0.4436286571
114	0.4431982068
115	0.4427043212
116	0.4423400973
117	0.4418346441
118	0.4412614156
119	0.4407942752
120	0.4403551448
121	0.4399657124
122	0.4395841354
123	0.4391506639
124	0.438646405
125	0.4382440302
126	0.4376827778
127	0.4372687297
128	0.4368084817
129	0.4365183821
130	0.4361107079
131	0.4357645739
132	0.4353351218
133	0.4349272547
134	0.4345145676
135	0.4340957157
136	0.4337597022
137	0.4333538896
138	0.4329877402
139	0.4326136226
140	0.432295205
141	0.4319288112
142	0.4315689418
143	0.4313032267
144	0.4309273314
145	0.4305824812
146	0.4302470867
147	0.4299523026
148	0.4296583855
149	0.4292622951
150	0.4289591271
151	0.4286447252
152	0.428381058
153	0.4280162188
154	0.4277920771
155	0.4274483315
156	0.4271665147
157	0.4269002918
158	0.4265539184
159	0.4262578148
160	0.42596261
161	0.4257015026
162	0.4254455381
163	0.4252157663
164	0.4250106529
165	0.4248145764
166	0.4246324384
167	0.4243964016
168	0.4241979837
169	0.4239683718
170	0.4237239654
171	0.4234245688
172	0.4232456361
173	0.4229866856
174	0.4227995987
175	0.4225809969
176	0.4223869755
177	0.4221548673
178	0.4219618596
179	0.4217661131
180	0.4215339342
181	0.4213545573
182	0.4211196202
183	0.4209507219
184	0.420718902
185	0.4205924689
186	0.420331337
187	0.4201929305
188	0.4200028971
189	0.4197582949
190	0.4195246905
191	0.419370913
192	0.4191600646
193	0.4189895889
194	0.4188203459
195	0.4186777601
196	0.4184527757
197	0.4182718902
198	0.4181504299
199	0.4179159652
200	0.4177693893
201	0.4176197064
202	0.4174976028
203	0.4173970305
204	0.417261452
205	0.4171212778
206	0.4170165469
207	0.416864512
208	0.4167108416
209	0.416581995
210	0.4164558116
211	0.4163033235
212	0.4161553293
213	0.4160162142
214	0.4158709885
215	0.4157128718
216	0.4155964436
217	0.4154316061
218	0.4152941054
219	0.4152033564
220	0.415026433
221	0.4149125133
222	0.4147889867
223	0.4145966955
224	0.4144590898
225	0.414324237
226	0.4142452597
227	0.4141383532
228	0.413959971
229	0.4138301792
230	0.4136679324
231	0.4135646892
232	0.413446488
233	0.4133142951
234	0.4132196662
235	0.4131192074
236	0.4130169857
237	0.4129089575
238	0.4128246259
239	0.4126901849
240	0.4126141618
241	0.4125180606
242	0.4124226527
243	0.4123365819
244	0.4122105451
245	0.4120832758
246	0.4119917041
247	0.4118755099
248	0.4117280733
249	0.4116340958
250	0.4115100379
251	0.4114264928
252	0.4113247836
253	0.4112281455
254	0.4111370202
255	0.4109970948
256	0.4108652986
257	0.4107653139
258	0.410660514
259	0.410600479
260	0.4104776653
261	0.4103840487
262	0.4102856859
263	0.4102120287
264	0.4101487151
265	0.4100435464
266	0.4099391732
267	0.4098556776
268	0.4097663176
269	0.4096782981
270	0.4095958448
271	0.409475633
272	0.4093794487
273	0.4093083201
274	0.4092432285
275	0.4091759875
276	0.4090983521
277	0.4089756685
278	0.408873014
279	0.408824145
280	0.4087371428
281	0.4086490334
282	0.4085559404
283	0.408438955
284	0.4083404418
285	0.408299813
286	0.4082362141
287	0.4081284377
288	0.408062368
289	0.4079840197
290	0.4079119511
291	0.4078212108
292	0.4077236349
293	0.4076754547
294	0.4075816718
295	0.4075084165
296	0.4074252995
297	0.4073667171
298	0.4072611063
299	0.4071969905
300	0.4071121363
301	0.4070031102
302	0.4069361802
303	0.4068472121
304	0.4067655214
305	0.4066905608
306	0.4066319208
307	0.4065608681
308	0.4064826026
309	0.406411042
310	0.4063430631
311	0.4062990152
312	0.4062301561
313	0.4061464224
314	0.4060781559
315	0.406005041
316	0.405942797
317	0.4058978691
318	0.4058435781
319	0.4057690402
320	0.4057129094
321	0.4056382511
322	0.4055524594
323	0.4054851988
324	0.4054151867
325	0.4053707604
326	0.4052953654
327	0.4052357243
328	0.4051841931
329	0.4051394937
330	0.4050632628
331	0.4050267666
332	0.4049761901
333	0.4049169552
334	0.4048454824
335	0.4047880556
336	0.4047246831
337	0.4046659712
338	0.4045807255
339	0.4045399387
340	0.4044635493
341	0.4044063231
342	0.4043423767
343	0.4042787112
344	0.404217713
345	0.4041455839
346	0.4040769615
347	0.404040444
348	0.4040011554
349	0.4039452103
350	0.4038893095
351	0.4038338977
352	0.4037764845
353	0.403728071
354	0.4036487257
355	0.4035726793
356	0.4035164877
357	0.4034676459
358	0.4034173073
359	0.403356731
360	0.4032965222
361	0.4032325179
362	0.4031839693
363	0.4031458842
364	0.4030830929
365	0.4030287105
366	0.4029795586
367	0.4029368305
368	0.4028841092
369	0.4028245261
370	0.4027777351
371	0.4027244369
372	0.4026730722
373	0.4026264885
374	0.4025470562
375	0.4025074252
376	0.4024828458
377	0.4024493204
378	0.4024188885
379	0.4023719162
380	0.402330272
381	0.4022937271
382	0.4022319749
383	0.4021754694
384	0.4021327256
385	0.4020993433
386	0.4020328372
387	0.401978018
388	0.4019266809
389	0.401891643
390	0.4018216599
391	0.4017627746
392	0.4017255799
393	0.40169061
394	0.4016539316
395	0.4015971402
396	0.4015473364
397	0.4014879355
398	0.4014292289
399	0.4013854465
400	0.4013491555
401	0.4012986594
402	0.4012606845
403	0.401219951
404	0.4011881123
405	0.401140238
406	0.401106868
407	0.4010529192
408	0.4010140849
409	0.4009832233
410	0.4009095986
411	0.4009038903
412	0.400867633
413	0.4007994008
414	0.4007621672
415	0.4007104584
416	0.400684585
417	0.4006371215
418	0.4006081665
419	0.4005766789
420	0.4005211955
421	0.4004914842
422	0.4004637739
423	0.4004165676
424	0.4003957824
425	0.4003440843
426	0.4003164748
427	0.4002824662
428	0.4002399537
429	0.4001944063
430	0.4001469017
431	0.4001144638
432	0.4000765574
433	0.4000576663
434	0.4000342985
435	0.3999765865
436	0.3999123874
437	0.3998625572
438	0.3998131019
439	0.3997776199
440	0.3997224223
441	0.3996859984
442	0.39964052
